1;4;2;-2;3;1;0;0;-1;-3;-10;-14;-16;-5;-3;-1;0;-3;2;14;22;2;0;-3;-2;-4;-27;-13;-2;1;-1;0;1;2;38;9;-10;-1;-2;-1;-2;-3;4;10;1;-1;-1;-1;0;-1;-21;-24;-9;-3;-2;-2;-1;1;6;8;13;0;0;-1;4
-1;2;5;20;9;2;1;0;-4;-4;0;7;4;0;-1;-1;-3;0;6;-16;-32;-4;1;-1;-3;-3;-15;4;10;1;-3;0;-3;-3;-10;-8;4;-3;-1;-2;-1;-5;-8;-10;-1;1;1;0;-2;1;8;17;4;0;-1;-1;-2;3;0;1;-17;-4;-1;-3;4
0;-1;-20;-20;-9;-4;-3;-3;1;0;22;24;5;-1;-1;0;-1;-4;-14;-18;-16;-3;-4;0;-1;2;14;-15;-19;-3;-2;0;-2;-5;-13;0;7;4;3;0;0;0;-1;-6;-10;-3;-1;-2;-2;-6;-27;1;19;2;-1;-1;1;7;54;24;1;-1;-3;-2;4
-2;3;11;-7;-13;0;-2;-1;-5;-5;-10;3;9;0;-2;-3;2;1;2;12;13;2;0;4;-3;-2;3;3;0;-1;1;-1;-1;1;-16;-3;-4;0;-2;-4;1;-2;18;8;0;0;-1;0;0;-2;-33;-22;0;0;1;3;-4;7;53;3;-26;-7;-2;-3;4
1;-3;-17;0;4;1;-4;-2;-1;2;-1;-2;-25;-12;-4;-1;0;-4;-6;-12;-7;0;0;0;0;-2;-6;10;4;-2;-2;-3;2;1;19;-15;-6;-2;-1;3;-1;-5;-28;-4;7;2;-1;1;-2;3;23;2;17;2;-1;-3;0;-4;-4;-10;-33;-7;-4;0;4
0;6;11;-5;-22;-6;-3;-6;-4;-3;17;-5;13;2;-1;1;-3;-6;-24;-14;-2;-1;-1;-7;1;3;38;15;5;1;1;3;-1;-1;-11;-1;-6;-6;-2;-4;-4;-2;7;2;-4;-2;-1;-2;-2;-5;-21;-10;5;0;-2;-1;0;0;14;7;-2;-2;-1;3;4
1;5;24;13;-3;-2;0;1;-2;-2;0;9;6;1;1;-3;1;-4;-14;5;15;4;1;3;-1;-2;-3;-19;-30;-7;-4;-1;0;-2;6;28;5;0;-2;0;0;0;0;-35;-7;-2;-1;-2;-1;-9;-9;1;-1;-2;-1;2;0;0;-1;9;7;2;-1;1;4
0;-2;-14;-47;-16;-3;-1;2;-1;-4;-3;18;2;1;-1;-5;-1;-1;8;-2;3;-1;-2;3;-1;-1;-22;-13;5;2;0;-2;-2;1;11;8;-7;-2;-1;-4;0;-2;-1;-1;1;-1;0;0;-8;-3;3;8;1;0;0;-10;6;1;-8;-10;7;0;-1;13;4
-4;-4;-15;-6;0;-1;-1;-3;-2;-3;-8;-6;0;-2;-4;-4;3;5;29;12;-3;-3;-2;1;-11;-3;-18;-13;7;-2;-2;-8;6;-4;-17;-1;1;1;-2;-7;2;0;34;7;-7;-2;1;15;0;-3;3;-1;8;-1;0;3;-1;0;0;18;16;-1;0;0;4
0;2;2;0;-4;-1;-1;-1;-2;-1;-12;-8;2;1;-1;-5;-1;-1;-13;-12;4;-3;0;0;0;-1;7;0;-17;-3;-3;0;-3;-4;0;-6;6;2;-1;-4;-2;-2;-2;8;9;-2;-1;-3;-3;0;1;-6;-18;-2;-3;2;-2;-1;-16;-11;-1;-3;-1;-1;4
